Experiment,Target_State,Analytical_Prob,Hardware_Prob,Measured_Counts,Total_Successes,Total_Shots,Backend_Used
exp_b_hard_4x4,00,0.01135902125116241,0.29508196721311475,1656,5612,100000,ibm_fez
exp_b_hard_4x4,01,0.1356612184196972,0.2548111190306486,1430,5612,100000,ibm_fez
exp_b_hard_4x4,10,0.8086274128927798,0.24910905203136136,1398,5612,100000,ibm_fez
exp_b_hard_4x4,11,0.04435234743636067,0.20099786172487527,1128,5612,100000,ibm_fez
